title,date
"Visiting researcher at Harvard School of Public Health","January-April 2017"
"Named to Mozilla's Network50, [50 people who are making the internet a better place](https://medium.com/read-write-participate/50-people-who-are-making-the-internet-a-better-place-10a7864403d)","2017"
"Elected Vice-President African Society of Bioinformatics and Computational Biology (ASBCB)","2016-2019"
"Technovation best regional ambassador award","2016"
"Alumna of the month, International Exchange Alumni, Bureau of Educational and  Cultural Affairs, U.S. Department of State","January 2016"
"[Founding member of Tunisian American Alumni Network](http://taan.com.tn/)","2016"
"Joint Anita Borg Institute and Techwomen award for change makers in Tech, Grace Hopper Celebration for Women in Computing","2015"
"Techwomen alumna, Bureau of Educational and  Cultural Affairs, U.S. Department of State","2014"
"Merit PhD Scholarship for High Technology from the Islamic development bank","2010-2013"
"Averroes award for exchange programs in Technology","2009"
"Member of the International Society of Computational Biology (ISCB)","2010-present"
